x,y
9.2,5.0
10.6,7.0
10.5,5.0
10.3,6.0
10.1,6.0
9.5,6.0
9.5,5.0
9.9,5.0
9.6,5.0
9.7,5.0
9.6,5.0
10.7,6.0
10.1,6.0
10.0,5.0
9.5,5.0
9.2,5.0
9.3,6.0
9.4,5.0
9.5,6.0
9.5,6.0
9.5,6.0
9.3,6.0
9.4,6.0
9.5,6.0
9.4,5.0
11.0,5.0
11.0,6.0
10.1,5.0
10.4,6.0
11.5,7.0
10.4,6.0
11.5,7.0
9.7,5.0
9.3,5.0
9.5,6.0
9.2,6.0
9.2,6.0
11.5,7.0
11.5,5.0
9.7,6.0
9.5,5.0
12.5,6.0
12.5,6.0
9.4,6.0
11.0,5.0
11.7,7.0
12.2,7.0
12.5,6.0
10.3,5.0
11.5,6.0
9.8,7.0
9.2,6.0
11.3,6.0
9.8,6.0
9.8,6.0
10.7,6.0
9.9,5.0
12.3,7.0
12.0,6.0
10.0,6.0
9.4,6.0
9.9,6.0
9.4,6.0
9.3,5.0
13.0,5.0
11.9,6.0
12.8,6.0
11.0,5.0
11.7,7.0
10.4,7.0
9.8,6.0
9.4,5.0
9.9,6.0
10.0,5.0
10.2,5.0
10.0,7.0
11.8,6.0
10.0,7.0
9.0,5.0
9.4,5.0
12.0,7.0
9.9,5.0
8.7,6.0
10.6,6.0
9.2,5.0
10.8,6.0
11.8,7.0
11.0,6.0
12.0,7.0
13.3,6.0
10.8,6.0
9.4,6.0
10.0,6.0
9.4,6.0
9.4,6.0
9.2,5.0
9.7,6.0
9.2,6.0
9.6,6.0
9.2,6.0
10.0,7.0
12.9,8.0
10.0,6.0
9.5,5.0
9.1,5.0
9.9,5.0
13.0,7.0
9.9,5.0
11.0,6.0
11.0,6.0
9.4,5.0
9.9,5.0
10.8,6.0
10.5,6.0
10.5,6.0
9.1,5.0
10.1,6.0
10.8,6.0
10.8,7.0
11.3,6.0
9.6,4.0
9.5,6.0
9.5,5.0
9.3,5.0
11.7,7.0
9.5,5.0
9.3,5.0
11.7,6.0
10.5,5.0
10.4,6.0
9.9,5.0
11.8,7.0
12.3,7.0
10.9,5.0
11.0,7.0
10.9,5.0
12.3,7.0
11.4,6.0
10.6,6.0
9.3,5.0
10.4,6.0
11.0,7.0
9.2,5.0
12.8,6.0
9.5,5.0
9.9,6.0
9.5,5.0
10.2,6.0
11.2,6.0
9.9,6.0
9.3,5.0
9.8,8.0
11.3,6.0
11.2,7.0
11.6,7.0
12.5,7.0
10.1,6.0
10.5,5.0
11.2,5.0
10.2,6.0
10.8,6.0
10.8,6.0
9.1,6.0
10.0,6.0
11.2,7.0
11.1,5.0
13.4,8.0
10.3,5.0
9.6,5.0
11.2,7.0
9.0,3.0
11.3,6.0
9.3,5.0
11.8,5.0
9.0,5.0
9.2,6.0
9.7,5.0
11.5,6.0
14.0,6.0
9.2,6.0
9.8,5.0
10.6,5.0
11.4,6.0
10.4,6.0
10.6,5.0
9.4,6.0
10.2,5.0
9.7,5.0
11.0,6.0
10.2,5.0
10.1,6.0
9.2,5.0
11.7,8.0
9.4,5.0
9.4,5.0
13.4,6.0
10.0,5.0
10.0,5.0
10.0,6.0
10.8,7.0
10.2,6.0
10.6,6.0
13.3,7.0
13.4,7.0
11.6,6.0
12.1,6.0
11.0,8.0
9.0,6.0
11.1,5.0
11.0,8.0
11.6,6.0
9.0,6.0
12.0,7.0
12.0,7.0
10.9,7.0
10.8,7.0
12.5,7.0
10.8,7.0
9.5,6.0
10.2,6.0
11.4,7.0
9.5,5.0
10.2,6.0
9.7,6.0
11.8,7.0
11.8,7.0
9.3,5.0
11.9,6.0
8.4,3.0
11.7,6.0
11.0,5.0
10.0,6.0
9.1,5.0
9.8,5.0
9.4,5.0
9.5,5.0
9.9,5.0
11.0,5.0
11.4,6.0
8.7,6.0
9.4,5.0
10.3,6.0
10.3,5.0
10.3,5.0
12.8,6.0
10.0,6.0
10.3,6.0
9.4,5.0
10.7,6.0
12.0,7.0
11.2,5.0
9.6,5.0
11.0,6.0
9.9,5.0
11.0,6.0
8.4,6.0
9.1,5.0
9.5,6.0
10.7,6.0
10.4,6.0
9.4,6.0
9.5,6.0
10.0,6.0
10.0,6.0
11.5,5.0
11.1,5.0
11.1,5.0
11.7,6.0
11.1,5.0
11.7,6.0
12.7,6.0
11.4,5.0
9.2,5.0
9.2,5.0
10.1,6.0
12.7,6.0
11.4,5.0
9.0,6.0
9.0,6.0
10.7,6.0
11.7,6.0
11.0,6.0
11.7,6.0
10.4,5.0
9.6,4.0
10.0,6.0
10.2,6.0
10.0,4.0
9.5,5.0
9.8,5.0
9.8,6.0
9.6,5.0
9.6,5.0
9.2,5.0
9.9,7.0
10.7,7.0
9.6,6.0
10.6,7.0
9.3,5.0
14.0,8.0
10.5,7.0
9.7,5.0
11.5,6.0
9.7,5.0
9.0,5.0
9.5,5.0
9.3,5.0
9.3,6.0
10.0,6.0
9.8,6.0
9.3,6.0
10.0,4.0
9.0,6.0
9.3,5.0
9.0,6.0
9.1,6.0
9.2,6.0
12.2,7.0
10.5,6.0
10.4,6.0
12.7,6.0
9.2,5.0
9.4,5.0
10.0,6.0
9.8,5.0
10.2,6.0
9.7,5.0
9.7,5.0
9.8,6.0
10.2,5.0
9.3,5.0
9.4,5.0
9.4,5.0
9.5,5.0
12.1,6.0
10.2,5.0
10.2,5.0
9.1,5.0
9.1,5.0
9.3,6.0
9.3,5.0
9.3,6.0
9.5,5.0
10.5,6.0
11.3,4.0
9.5,5.0
9.7,5.0
9.4,5.0
9.4,5.0
10.2,7.0
10.3,6.0
9.4,5.0
9.5,5.0
9.4,5.0
9.5,5.0
9.4,5.0
10.1,7.0
10.1,5.0
11.0,4.0
11.2,7.0
11.3,6.0
9.6,5.0
11.2,5.0
14.9,5.0
12.0,6.0
9.5,5.0
9.4,5.0
9.6,5.0
10.5,7.0
9.6,6.0
11.0,4.0
9.6,6.0
9.0,5.0
9.6,6.0
10.2,6.0
10.2,5.0
9.7,5.0
9.5,6.0
9.2,6.0
11.0,5.0
9.2,6.0
10.0,5.0
9.5,5.0
9.5,5.0
9.5,5.0
9.3,6.0
10.2,5.0
9.3,6.0
9.9,5.0
10.0,5.0
9.6,5.0
9.0,5.0
10.2,6.0
9.8,5.0
11.3,5.0
9.4,5.0
11.3,5.0
9.1,5.0
9.7,5.0
9.4,5.0
9.4,5.0
10.7,3.0
9.8,5.0
9.0,5.0
9.4,5.0
9.4,5.0
12.8,6.0
9.5,6.0
9.5,6.0
9.7,5.0
10.8,6.0
10.1,6.0
9.5,6.0
9.4,6.0
9.6,4.0
9.7,4.0
9.9,5.0
10.0,5.0
10.5,5.0
11.6,6.0
10.0,6.0
10.1,5.0
9.5,5.0
9.4,5.0
9.4,5.0
9.8,5.0
9.2,6.0
9.4,5.0
10.0,5.0
9.6,5.0
9.5,5.0
9.6,5.0
9.2,5.0
10.0,5.0
9.5,5.0
11.2,4.0
10.4,5.0
11.1,6.0
9.5,5.0
9.5,5.0
12.7,6.0
9.6,5.0
11.5,5.0
9.6,5.0
9.5,5.0
9.3,5.0
9.5,5.0
9.5,5.0
9.3,6.0
9.2,5.0
9.3,5.0
11.5,6.0
9.5,5.0
9.2,5.0
10.0,5.0
9.5,5.0
9.5,6.0
9.0,6.0
9.4,5.0
9.6,6.0
9.5,6.0
9.5,5.0
9.5,5.0
9.4,5.0
9.5,5.0
9.1,6.0
10.7,6.0
11.2,6.0
9.8,5.0
9.8,5.0
9.2,5.0
9.7,5.0
9.6,5.0
10.0,6.0
9.6,5.0
9.5,6.0
9.5,6.0
9.4,5.0
9.5,5.0
9.7,6.0
9.6,5.0
9.7,6.0
9.4,5.0
9.4,5.0
9.5,6.0
9.5,6.0
10.0,5.0
10.3,6.0
10.3,6.0
10.5,5.0
9.8,5.0
9.4,6.0
9.8,5.0
10.0,5.0
9.8,5.0
9.8,5.0
9.5,5.0
9.5,5.0
10.1,6.0
10.1,6.0
9.3,5.0
9.7,6.0
9.6,5.0
9.7,6.0
10.8,5.0
12.5,6.0
10.2,5.0
9.6,5.0
10.8,7.0
10.7,6.0
10.7,6.0
9.4,5.0
10.0,5.0
12.9,7.0
9.6,6.0
9.9,6.0
12.8,7.0
12.5,7.0
12.8,7.0
9.2,5.0
10.3,6.0
10.5,5.0
10.9,6.0
10.8,5.0
11.4,4.0
11.3,6.0
10.8,5.0
10.5,6.0
11.9,6.0
9.4,5.0
9.6,5.0
9.7,5.0
14.0,7.0
9.8,5.0
9.8,5.0
10.3,5.0
10.7,5.0
11.0,7.0
10.7,5.0
12.7,8.0
11.1,6.0
10.9,4.0
11.1,6.0
9.9,3.0
9.9,4.0
9.4,5.0
9.3,5.0
11.7,7.0
11.7,7.0
11.2,7.0
10.0,5.0
12.1,7.0
10.3,5.0
10.9,6.0
9.4,5.0
10.6,6.0
9.8,5.0
9.8,5.0
9.9,6.0
9.8,5.0
9.8,5.0
9.5,5.0
9.5,5.0
9.7,5.0
10.9,6.0
10.9,6.0
11.7,7.0
10.9,6.0
11.3,7.0
10.6,7.0
11.2,6.0
9.5,5.0
11.5,6.0
10.4,5.0
9.7,5.0
9.5,5.0
9.7,5.0
11.3,6.0
11.2,6.0
11.2,6.0
10.9,6.0
11.8,6.0
10.6,5.0
10.0,4.0
11.1,7.0
11.8,7.0
11.8,7.0
10.9,4.0
11.8,6.0
10.0,6.0
9.5,5.0
9.9,5.0
11.4,6.0
12.0,6.0
9.5,5.0
10.0,6.0
10.5,5.0
10.4,6.0
12.1,7.0
11.2,6.0
9.3,5.0
10.1,5.0
9.7,5.0
9.3,6.0
9.7,5.0
9.8,6.0
10.7,6.0
12.5,7.0
10.7,6.0
12.5,7.0
11.0,3.0
11.8,5.0
10.8,7.0
10.8,7.0
10.8,7.0
10.8,7.0
9.5,5.0
11.0,5.0
11.5,6.0
10.8,6.0
11.5,6.0
13.2,6.0
10.9,6.0
12.2,6.0
12.2,7.0
11.5,6.0
11.9,6.0
11.0,5.0
10.1,6.0
11.0,6.0
11.8,6.0
10.5,5.0
11.0,6.0
11.8,6.0
10.1,6.0
11.2,5.0
11.0,7.0
10.2,6.0
9.2,4.0
11.2,5.0
12.0,7.0
10.5,5.0
9.8,5.0
9.5,6.0
9.8,5.0
10.5,5.0
11.8,6.0
11.8,6.0
10.4,4.0
12.9,7.0
11.4,5.0
12.4,7.0
12.5,7.0
10.0,7.0
9.7,7.0
12.1,7.0
11.1,7.0
12.0,7.0
12.4,7.0
11.9,7.0
11.9,7.0
11.9,7.0
12.4,7.0
11.2,7.0
12.1,7.0
12.2,6.0
10.4,5.0
11.3,6.0
11.1,6.0
11.3,7.0
10.0,5.0
11.1,6.0
9.3,5.0
9.5,5.0
11.2,6.0
11.1,6.0
11.0,6.0
11.9,7.0
9.2,5.0
12.2,6.0
10.2,5.0
10.9,6.0
10.9,6.0
11.6,7.0
10.7,5.0
12.1,7.0
9.4,5.0
9.4,5.0
9.1,5.0
11.3,7.0
10.4,5.0
10.5,6.0
10.0,5.0
12.9,6.0
10.5,6.0
10.4,5.0
11.3,6.0
11.4,7.0
9.4,5.0
9.4,5.0
10.9,6.0
9.4,5.0
9.4,5.0
9.4,6.0
9.4,5.0
9.4,5.0
10.1,6.0
12.8,7.0
12.8,7.0
9.1,6.0
12.9,6.0
11.5,7.0
10.6,7.0
11.7,7.0
12.8,7.0
10.3,5.0
12.8,7.0
11.7,7.0
11.7,7.0
12.0,7.0
10.9,5.0
12.3,7.0
10.4,6.0
10.0,5.0
10.0,6.0
11.2,6.0
11.4,6.0
12.6,7.0
12.7,6.0
12.7,6.0
10.4,5.0
11.9,6.0
11.9,6.0
10.5,5.0
12.3,6.0
10.5,7.0
10.4,6.0
12.6,6.0
11.6,5.0
10.1,6.0
10.5,7.0
11.5,7.0
11.0,7.0
9.6,5.0
10.4,6.0
9.7,6.0
10.6,7.0
12.5,7.0
9.2,5.0
12.6,7.0
11.1,6.0
10.2,5.0
9.8,6.0
11.1,6.0
10.9,7.0
12.2,6.0
11.4,6.0
10.7,6.0
10.4,5.0
10.9,6.0
10.8,6.0
10.4,5.0
9.2,5.0
12.9,5.0
12.7,7.0
9.1,6.0
9.1,6.0
12.1,7.0
9.1,5.0
11.6,7.0
12.1,7.0
9.9,6.0
12.5,8.0
11.4,6.0
11.8,6.0
11.8,6.0
10.2,6.0
12.5,7.0
10.9,7.0
10.9,7.0
10.8,5.0
11.1,7.0
9.2,5.0
9.5,6.0
10.7,6.0
9.2,5.0
10.2,7.0
11.4,6.0
11.0,5.0
11.0,5.0
12.3,7.0
11.8,6.0
12.3,7.0
9.5,6.0
12.0,6.0
9.5,6.0
9.6,5.0
11.6,7.0
11.2,6.0
9.9,7.0
9.9,7.0
11.8,8.0
11.4,6.0
11.5,6.0
12.0,7.0
10.8,6.0
10.5,5.0
10.8,6.0
9.4,5.0
12.5,7.0
9.4,5.0
12.4,6.0
12.0,6.0
11.2,6.0
12.0,6.0
12.4,6.0
12.8,5.0
12.3,6.0
11.7,7.0
9.5,5.0
10.8,6.0
10.0,6.0
12.3,7.0
11.0,6.0
9.5,6.0
13.6,6.0
11.3,6.0
11.3,6.0
11.3,6.0
13.3,6.0
12.9,5.0
13.1,8.0
12.3,6.0
12.3,6.0
11.2,6.0
11.5,4.0
11.3,7.0
13.5,6.0
11.5,6.0
10.0,5.0
10.5,6.0
10.4,6.0
9.5,5.0
13.6,7.0
11.2,7.0
11.8,7.0
11.9,6.0
11.4,6.0
11.4,6.0
9.1,5.0
9.5,6.0
9.5,6.0
11.0,6.0
11.4,6.0
10.0,6.0
10.1,5.0
10.4,6.0
9.8,6.0
11.8,7.0
11.6,6.0
12.0,6.0
12.8,7.0
12.5,6.0
9.8,5.0
11.1,6.0
11.4,6.0
9.8,5.0
11.8,7.0
12.9,7.0
10.6,6.0
10.8,5.0
11.1,7.0
10.2,6.0
11.8,7.0
10.0,5.0
10.0,5.0
9.4,5.0
10.2,5.0
12.4,7.0
12.0,6.0
11.5,6.0
10.5,6.0
10.8,6.0
12.3,6.0
9.5,6.0
9.5,6.0
11.5,6.0
11.2,4.0
12.7,7.0
11.4,5.0
11.0,6.0
11.0,6.0
11.4,5.0
10.5,6.0
9.3,5.0
10.9,5.0
11.9,6.0
12.2,5.0
11.9,6.0
10.9,5.0
9.6,4.0
12.5,6.0
10.8,5.0
12.4,7.0
10.8,5.0
9.5,6.0
9.5,6.0
9.5,6.0
9.8,6.0
10.9,6.0
9.5,6.0
9.8,6.0
11.2,7.0
11.7,8.0
9.4,5.0
11.0,7.0
11.0,7.0
11.0,7.0
10.0,5.0
11.0,7.0
11.2,7.0
10.4,6.0
9.3,5.0
10.4,6.0
10.5,6.0
10.4,6.0
11.3,6.0
9.5,6.0
12.0,6.0
10.6,6.0
10.9,6.0
11.5,6.0
11.5,6.0
9.6,6.0
12.0,6.0
10.3,6.0
9.4,5.0
9.2,5.0
9.6,5.0
13.6,7.0
9.5,5.0
11.8,6.0
10.8,5.0
9.5,5.0
9.3,4.0
12.8,6.0
11.5,4.0
9.4,6.0
12.8,6.0
9.6,4.0
11.8,4.0
9.3,5.0
9.8,5.0
12.2,6.0
9.5,5.0
10.3,6.0
10.5,5.0
10.0,5.0
10.5,5.0
11.1,6.0
10.9,6.0
10.9,6.0
9.8,5.0
9.8,5.0
9.5,5.0
10.9,5.0
11.0,5.0
9.2,5.0
11.0,6.0
11.3,6.0
11.3,6.0
9.3,5.0
11.2,4.0
9.8,5.0
9.6,4.0
11.8,6.0
10.3,6.0
10.3,6.0
11.4,6.0
9.5,6.0
14.0,8.0
14.0,6.0
11.7,6.0
11.2,5.0
9.3,5.0
11.2,6.0
9.5,6.0
12.0,4.0
9.7,6.0
9.5,6.0
11.5,7.0
10.4,6.0
10.4,6.0
10.9,6.0
10.2,6.0
10.9,5.0
10.5,5.0
12.4,6.0
13.0,5.0
10.2,5.0
10.2,5.0
11.0,5.0
10.9,6.0
12.4,6.0
9.7,4.0
10.9,6.0
9.5,5.0
9.5,5.0
12.1,6.0
12.2,6.0
10.9,3.0
12.5,6.0
11.7,6.0
11.2,6.0
11.2,5.0
9.2,5.0
9.8,5.0
10.1,5.0
11.1,4.0
10.1,5.0
9.2,5.0
9.8,5.0
12.8,6.0
10.5,5.0
10.1,6.0
10.1,6.0
9.8,6.0
12.5,6.0
11.9,6.0
9.8,6.0
9.1,6.0
10.1,5.0
12.5,6.0
11.4,5.0
11.0,7.0
10.6,6.0
10.6,6.0
10.6,6.0
10.6,6.0
9.3,5.0
9.8,6.0
9.8,6.0
9.2,5.0
9.7,6.0
9.6,5.0
10.0,5.0
12.6,6.0
9.5,5.0
9.5,5.0
9.5,5.0
10.5,6.0
10.5,6.0
10.5,6.0
10.4,6.0
10.5,6.0
11.0,5.0
10.2,6.0
11.4,5.0
9.5,5.0
9.5,5.0
10.8,5.0
10.0,5.0
11.8,6.0
10.3,5.0
10.3,5.0
10.0,5.0
10.1,5.0
10.1,5.0
11.1,6.0
9.5,5.0
10.0333333333333,6.0
10.9,5.0
10.1,5.0
10.0333333333333,6.0
9.8,4.0
11.8,6.0
9.5,5.0
9.8,5.0
10.5,6.0
9.8,6.0
10.4,4.0
9.2,5.0
11.6,6.0
9.2,5.0
9.3,5.0
9.8,3.0
9.9,5.0
10.0,5.0
12.2,6.0
9.9,6.0
10.8,6.0
10.8,6.0
9.6,5.0
9.9,5.0
9.9,5.0
9.5,5.0
9.2,5.0
9.6,5.0
9.6,5.0
10.3,5.0
9.7,5.0
12.5,6.0
11.0,5.0
9.8,5.0
10.2,5.0
9.2,5.0
9.55,6.0
9.55,5.0
9.9,5.0
10.2,7.0
11.1,6.0
9.9,5.0
9.9,5.0
11.9,6.0
10.0,8.0
10.7,6.0
11.3,7.0
10.9,6.0
10.7,6.0
12.4,7.0
10.7,6.0
11.9,6.0
10.6,6.0
10.9,6.0
10.1,5.0
9.6,5.0
9.4,5.0
9.6,5.0
12.1,7.0
9.8,5.0
9.9,5.0
9.8,5.0
9.4,5.0
11.4,6.0
11.0,4.0
9.6,6.0
9.6,6.0
12.1,6.0
11.2,5.0
11.0,5.0
11.3,5.0
10.4,5.0
9.9,6.0
11.7,6.0
10.1,7.0
9.0,6.0
9.0,6.0
8.5,5.0
11.1,5.0
10.3,5.0
11.0666666666667,6.0
11.3,7.0
9.56666666666667,6.0
9.8,5.0
11.7,5.0
11.1,6.0
9.6,6.0
9.8,5.0
9.7,5.0
9.7,5.0
11.3,8.0
11.3,7.0
11.0,7.0
11.6,7.0
9.0,5.0
10.9,6.0
10.9,6.0
10.55,6.0
9.0,5.0
10.5,5.0
11.9,7.0
10.4,6.0
10.0,4.0
10.4,6.0
10.8,6.0
9.7,5.0
9.7,5.0
10.0,7.0
11.0,4.0
10.0,7.0
9.7,3.0
9.7,5.0
12.6,5.0
11.1,6.0
11.0,5.0
8.8,5.0
13.5666666666667,7.0
8.8,5.0
13.6,7.0
10.2,3.0
10.6,5.0
10.1,4.0
10.6,5.0
10.3,4.0
10.7,5.0
10.9,4.0
9.7,5.0
10.3,5.0
10.6,5.0
11.4,5.0
10.8,6.0
12.4,6.0
11.4,5.0
11.95,5.0
9.7,5.0
10.0,7.0
10.6,6.0
9.7,5.0
11.5,6.0
10.8,6.0
11.5,6.0
9.6,5.0
9.4,5.0
9.8,5.0
11.0,6.0
11.4,6.0
9.95,3.0
10.8,6.0
11.4,6.0
10.6,6.0
11.1,5.0
9.7,6.0
9.8,5.0
10.4,6.0
10.5,6.0
9.23333333333333,6.0
9.25,6.0
10.6,5.0
10.3,6.0
10.5,5.0
10.2,5.0
10.3,6.0
9.05,4.0
10.6,5.0
10.4,5.0
10.0,6.0
9.7,5.0
9.6,6.0
10.8,6.0
10.1,6.0
10.2,6.0
11.3,6.0
10.2,5.0
9.9,6.0
9.0,5.0
11.7,7.0
9.7,6.0
10.3,6.0
10.2,6.0
12.0,5.0
9.9,5.0
11.6,6.0
10.9,7.0
10.75,6.0
10.4,6.0
11.2,7.0
10.1,6.0
10.2,5.0
12.1,5.0
10.4,5.0
11.4,8.0
9.5,5.0
9.4,5.0
11.3,6.0
9.4,5.0
11.0,6.0
10.55,7.0
9.9,5.0
11.0,6.0
9.5,5.0
9.9,5.0
9.9,5.0
9.9,5.0
10.1,5.0
10.1,5.0
10.1,5.0
10.9,6.0
11.2,6.0
10.1,5.0
9.2,5.0
11.5,6.0
12.4,6.0
11.1,6.0
9.5,5.0
12.5,6.0
10.5,6.0
11.8,6.0
10.8,6.0
11.9,6.0
11.3,6.0
11.3,5.0
11.9,6.0
11.3,5.0
11.9,5.0
9.8,5.0
11.6,7.0
11.5,6.0
11.4,6.0
10.9,6.0
12.8,6.0
9.2,5.0
11.6,6.0
11.6,6.0
11.0,6.0
9.5,6.0
10.5,5.0
11.2,6.0
11.0,6.0
10.2,5.0
11.0,6.0
